,work_year,experience_level,employment_type,job_title,salary,salary_currency,salary_in_usd,employee_residence,remote_ratio,company_location,company_size
607,2025,EX,FT,Applied Scientist,173151,USD,173151,AU,0,AU,L
608,2026,EX,FL,Data Analyst,422628,CAD,308519,GR,0,SG,M
609,2023,EN,FL,Director of Data Science,49917,USD,49917,SG,0,GR,S
610,2024,SE,PT,NLP Engineer,178996,USD,178996,DE,0,NL,L
611,2025,MI,FL,Research Scientist,109280,USD,109280,IT,50,SG,M
612,2023,EX,CT,Data Analyst,177973,USD,177973,US,100,US,L
613,2024,SE,FT,Data Scientist,215300,USD,215300,US,0,US,L
614,2025,MI,FT,Machine Learning Engineer,142000,USD,142000,CA,100,CA,M
615,2026,EN,FT,Data Engineer,98000,EUR,105840,DE,50,DE,L
616,2023,SE,FT,AI Engineer,195000,USD,195000,US,100,US,M
617,2024,EX,FT,Senior Data Scientist,285000,USD,285000,US,0,US,L
618,2025,MI,PT,BI Data Analyst,72000,GBP,91260,GB,50,GB,M
619,2026,SE,FT,Data Science Manager,168000,USD,168000,US,100,US,L
620,2023,EN,FT,Research Scientist,85000,USD,85000,FR,100,FR,S
621,2024,MI,FT,Analytics Engineer,135000,USD,135000,US,100,US,M
622,2025,SE,FT,MLOps Engineer,172000,USD,172000,US,0,US,L
623,2026,EX,FT,Principal Data Engineer,248000,USD,248000,US,100,US,L
624,2023,MI,CT,Computer Vision Engineer,95000,EUR,102600,DE,50,DE,M
625,2024,SE,FT,Data Architect,198000,USD,198000,CA,100,CA,L
626,2025,EN,FT,Data Analyst,78000,USD,78000,US,100,US,S
627,2026,MI,FT,NLP Engineer,145000,USD,145000,US,50,US,M
628,2023,SE,PT,Lead Data Scientist,210000,USD,210000,US,0,US,L
629,2024,EX,FT,Head of Data,320000,USD,320000,US,100,US,L
630,2025,MI,FT,Applied Scientist,158000,USD,158000,GB,100,GB,M
631,2026,SE,FT,Data Engineer,165000,USD,165000,US,100,US,L
632,2023,EN,FL,Research Scientist,62000,CAD,85060,CA,50,CA,S
633,2024,MI,FT,ML Engineer,132000,USD,132000,US,0,US,M
634,2025,SE,FT,Data Science Consultant,118000,EUR,127440,DE,100,DE,M
635,2026,EX,FT,Director of Data Science,275000,USD,275000,US,100,US,L
636,2023,MI,FT,Business Data Analyst,92000,USD,92000,US,50,US,M
637,2024,SE,PT,AI Engineer,185000,USD,185000,US,100,US,L
638,2025,EN,FT,Data Analyst,68000,GBP,86180,GB,100,GB,S
639,2026,MI,FT,Senior Data Engineer,152000,USD,152000,US,0,US,M
640,2023,SE,FT,Machine Learning Scientist,205000,USD,205000,US,100,US,L
641,2024,EX,CT,Principal Data Scientist,290000,USD,290000,US,50,US,L
642,2025,MI,FT,Analytics Engineer,129000,USD,129000,CA,100,CA,M
643,2026,SE,FT,Data Architect,187000,USD,187000,US,100,US,L
644,2023,EN,FT,Computer Vision Engineer,91000,USD,91000,FR,50,FR,S
645,2024,MI,PT,Research Scientist,105000,EUR,113400,DE,100,DE,M
646,2025,SE,FT,Lead Data Engineer,198000,USD,198000,US,0,US,L
647,2026,EX,FT,Head of Machine Learning,340000,USD,340000,US,100,US,L
648,2023,MI,FT,Data Scientist,118500,USD,118500,GB,50,GB,M
649,2024,SE,FT,MLOps Engineer,169000,USD,169000,US,100,US,L
650,2025,EN,FT,Data Engineer,85000,USD,85000,US,100,US,S
651,2026,MI,FT,NLP Engineer,139000,USD,139000,US,0,US,M
652,2023,SE,FT,Applied Data Scientist,176000,USD,176000,US,100,US,L
653,2024,EX,PT,Director of Data Science,255000,USD,255000,US,50,US,L
654,2025,MI,FT,BI Data Analyst,98000,GBP,124460,GB,100,GB,M
655,2026,SE,FT,Data Science Manager,182000,USD,182000,US,100,US,L
656,2023,EN,FT,Research Scientist,72000,CAD,98640,CA,50,CA,S